,rank/position,player name,Team,rating,career best rating
0,"
                            1
                        ","<div class=""rankings-block__banner--name-large"">Suryakumar Yadav</div>","<div class=""rankings-block__banner--nationality"">
<div class=""flag-15 IND""></div>
<span class=""rankings-block__banner--nation""></span>IND
                    </div>","<div class=""rankings-block__banner--rating"">906</div>","<span class=""rankings-block__pos-number"">
                            1
                        </span>"
1,"
                                    2
                                ","<a href=""/rankings/mens/player-rankings/1201"">Mohammad Rizwan</a>","<span class=""table-body__logo-text"">PAK</span>","<td class=""table-body__cell rating"">836</td>","<span class=""rankings-table__pos-number"">
                                    2
                                </span>"
2,"
                                    3
                                ","<a href=""/rankings/mens/player-rankings/2759"">Babar Azam</a>","<span class=""table-body__logo-text"">PAK</span>","<td class=""table-body__cell rating"">778</td>","<span class=""rankings-table__pos-number"">
                                    3
                                </span>"
3,"
                                    4
                                ","<a href=""/rankings/mens/player-rankings/4650"">Devon Conway</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">768</td>","<span class=""rankings-table__pos-number"">
                                    4
                                </span>"
4,"
                                    5
                                ","<a href=""/rankings/mens/player-rankings/1667"">Aiden Markram</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">748</td>","<span class=""rankings-table__pos-number"">
                                    5
                                </span>"
5,"
                                    6
                                ","<a href=""/rankings/mens/player-rankings/100012"">Muhammad Waseem</a>","<span class=""table-body__logo-text"">UAE</span>","<td class=""table-body__cell rating"">716</td>","<span class=""rankings-table__pos-number"">
                                    6
                                </span>"
6,"
                                    7
                                ","<a href=""/rankings/mens/player-rankings/3318"">Dawid Malan</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">705</td>","<span class=""rankings-table__pos-number"">
                                    7
                                </span>"
7,"
                                    8
                                ","<a href=""/rankings/mens/player-rankings/239"">Rilee Rossouw</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">693</td>","<span class=""rankings-table__pos-number"">
                                    8
                                </span>"
8,"
                                    9
                                ","<a href=""/rankings/mens/player-rankings/167"">Aaron Finch</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">680</td>","<span class=""rankings-table__pos-number"">
                                    9
                                </span>"
9,"
                                    10
                                ","<a href=""/rankings/mens/player-rankings/509"">Jos Buttler</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">670</td>","<span class=""rankings-table__pos-number"">
                                    10
                                </span>"
10,"
                                    11
                                ","<a href=""/rankings/mens/player-rankings/3027"">Glenn Phillips</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">662</td>","<span class=""rankings-table__pos-number"">
                                    11
                                </span>"
11,"
                                    12
                                ","<a href=""/rankings/mens/player-rankings/17077"">Pathum Nissanka</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">643</td>","<span class=""rankings-table__pos-number"">
                                    12
                                </span>"
12,"
                                    13
                                ","<a href=""/rankings/mens/player-rankings/511"">Alex Hales</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">636</td>","<span class=""rankings-table__pos-number"">
                                    13
                                </span>"
13,"
                                    14
                                ","<a href=""/rankings/mens/player-rankings/834"">Quinton de Kock</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">614</td>","<span class=""rankings-table__pos-number"">
                                    14
                                </span>"
14,"
                                    15
                                ","<a href=""/rankings/mens/player-rankings/164"">Virat Kohli</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">612</td>","<span class=""rankings-table__pos-number"">
                                    15
                                </span>"
15,"
                                    16
                                ","<a href=""/rankings/mens/player-rankings/1586"">Nazmul Shanto</a>","<span class=""table-body__logo-text"">BAN</span>","<td class=""table-body__cell rating"">593</td>","<span class=""rankings-table__pos-number"">
                                    16
                                </span>"
16,"
                                    17
                                ","<a href=""/rankings/mens/player-rankings/1708"">Brandon King</a>","<span class=""table-body__logo-text"">WI</span>","<td class=""table-body__cell rating"">583</td>","<span class=""rankings-table__pos-number"">
                                    17
                                </span>"
17,"
                                    18
                                ","<a href=""/rankings/mens/player-rankings/1703"">Nicholas Pooran</a>","<span class=""table-body__logo-text"">WI</span>","<td class=""table-body__cell rating"">582</td>","<span class=""rankings-table__pos-number"">
                                    18
                                </span>"
18,"
                                    19
                                ","<a href=""/rankings/mens/player-rankings/17115"">Rahmanullah Gurbaz</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">581</td>","<span class=""rankings-table__pos-number"">
                                    19
                                </span>"
19,"
                                    20
                                ","<a href=""/rankings/mens/player-rankings/1915"">Reeza Hendricks</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">579</td>","<span class=""rankings-table__pos-number"">
                                    20
                                </span>"
20,"
                                    21
                                ","<a href=""/rankings/mens/player-rankings/2784"">George Munsey</a>","<span class=""table-body__logo-text"">SCO</span>","<td class=""table-body__cell rating"">572</td>","<span class=""rankings-table__pos-number"">
                                    21
                                </span>"
21,"
                                    22
                                ","<a href=""/rankings/mens/player-rankings/1596"">Litton Das</a>","<span class=""table-body__logo-text"">BAN</span>","<td class=""table-body__cell rating"">566</td>","<span class=""rankings-table__pos-number"">
                                    22
                                </span>"
22,"
                                    23
                                ","<a href=""/rankings/mens/player-rankings/1277"">Rassie van der Dussen</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">565</td>","<span class=""rankings-table__pos-number"">
                                    23
                                </span>"
23,"
                                    24
                                ","<a href=""/rankings/mens/player-rankings/3020"">Finn Allen</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">563</td>","<span class=""rankings-table__pos-number"">
                                    24
                                </span>"
24,"
                                    25
                                ","<a href=""/rankings/mens/player-rankings/1143"">Richard Berrington</a>","<span class=""table-body__logo-text"">SCO</span>","<td class=""table-body__cell rating"">558</td>","<span class=""rankings-table__pos-number"">
                                    25
                                </span>"
25,"
                                    26
                                ","<a href=""/rankings/mens/player-rankings/3642"">Daryl Mitchell</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">552</td>","<span class=""rankings-table__pos-number"">
                                    26
                                </span>"
26,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/221"">Mitchell Marsh</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">552</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
27,"
                                    28
                                ","<a href=""/rankings/mens/player-rankings/1125"">Lokesh Rahul</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">548</td>","<span class=""rankings-table__pos-number"">
                                    28
                                </span>"
28,"
                                    29
                                ","<a href=""/rankings/mens/player-rankings/431"">Martin Guptill</a>","<span class=""table-body__logo-text"">NZ</span>","<td class=""table-body__cell rating"">547</td>","<span class=""rankings-table__pos-number"">
                                    29
                                </span>"
29,"
                                    30
                                ","<a href=""/rankings/mens/player-rankings/107"">Rohit Sharma</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">545</td>","<span class=""rankings-table__pos-number"">
                                    30
                                </span>"
30,"
                                    31
                                ","<a href=""/rankings/mens/player-rankings/3761"">Shubman Gill</a>","<span class=""table-body__logo-text"">IND</span>","<td class=""table-body__cell rating"">542</td>","<span class=""rankings-table__pos-number"">
                                    31
                                </span>"
31,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/187"">David Miller</a>","<span class=""table-body__logo-text"">SA</span>","<td class=""table-body__cell rating"">542</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
32,"
                                    33
                                ","<a href=""/rankings/mens/player-rankings/526"">Paul Stirling</a>","<span class=""table-body__logo-text"">IRE</span>","<td class=""table-body__cell rating"">541</td>","<span class=""rankings-table__pos-number"">
                                    33
                                </span>"
33,"
                                    34
                                ","<a href=""/rankings/mens/player-rankings/"">Kariyawasa Asalanka</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">539</td>","<span class=""rankings-table__pos-number"">
                                    34
                                </span>"
34,"
                                    35
                                ","<a href=""/rankings/mens/player-rankings/5134"">Hazratullah</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">537</td>","<span class=""rankings-table__pos-number"">
                                    35
                                </span>"
35,"
                                    36
                                ","<a href=""/rankings/mens/player-rankings/1670"">Kusal Mendis</a>","<span class=""table-body__logo-text"">SL</span>","<td class=""table-body__cell rating"">530</td>","<span class=""rankings-table__pos-number"">
                                    36
                                </span>"
36,"
                                    37
                                ","<a href=""/rankings/mens/player-rankings/282"">Glenn Maxwell</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">527</td>","<span class=""rankings-table__pos-number"">
                                    37
                                </span>"
37,"
                                    38
                                ","<a href=""/rankings/mens/player-rankings/620"">Najibullah Zadran</a>","<span class=""table-body__logo-text"">AFG</span>","<td class=""table-body__cell rating"">521</td>","<span class=""rankings-table__pos-number"">
                                    38
                                </span>"
38,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/170"">David Warner</a>","<span class=""table-body__logo-text"">AUS</span>","<td class=""table-body__cell rating"">521</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
